dataset,model,cv_f1_macro_mean,cv_f1_macro_std,test_accuracy,test_f1_macro,test_f1_weighted,test_precision,test_recall,test_f1_misinformation,test_roc_auc,test_pr_auc,model_type,f1_misinformation,null_predictions,parse_errors,parse_json,parse_keyword_fallback,parse_empty,parse_default,f1_rumour
manchester,roberta-base,0.96077,0.011895,0.991781,0.985701,0.991755,0.988752,0.982714,0.976378,0.99891,0.995074,RoBERTa Fine-Tuned,,,,,,,,
monkeypox,roberta-base,0.892566,0.013534,0.921225,0.912675,0.921225,0.912675,0.912675,0.88535,,,RoBERTa Fine-Tuned,,,,,,,,
pheme,roberta-base,0.599004,0.007317,0.82213,0.598062,0.805061,0.627025,0.585865,0.898165,,,RoBERTa Fine-Tuned,,,,,,,,
manchester,ollama-zero-shot (llama3.1),,,0.7534246575342466,0.684086013232805,0.7801869412997152,0.674468085106383,0.7766818936877076,,,,Zero-Shot LLM,0.5360824742268042,2.0,3.0,362.0,1.0,0.0,2.0,
monkeypox,ollama-zero-shot (llama3.1),,,0.612691466083151,0.6126617919581676,0.611600941990009,0.6845330237358102,0.6822292993630573,,,,Zero-Shot LLM,0.6160520607375272,5.0,5.0,452.0,0.0,0.0,5.0,
pheme,ollama-zero-shot (llama3.1),,,0.4343329886246122,0.3981829973148864,0.4999215804523845,0.5032979149959904,0.5060403916768665,,,,Zero-Shot LLM,,118.0,120.0,1814.0,2.0,0.0,118.0,0.5456810631229235
