dataset,family,mean,std,min,max,n,best,best_model
gurlitt,Transformer (fine-tuned),0.366667,,0.366667,0.366667,1,0.366667,MiniLM
manchester,LLM (zero-shot),0.6932790374334975,0.04215464985528561,0.6444410493892102,0.7311793526463827,5,0.7311793526463827,Gemini 2.5 Flash
manchester,Transformer (fine-tuned),0.9596905,0.005951320329697176,0.951863,0.964972,4,0.964972,RoBERTa
monkeypox,LLM (zero-shot),0.6975874396987687,0.05041217926860638,0.6441185535462011,0.7725915793733803,5,0.7725915793733803,Gemini 2.5 Flash
monkeypox,Transformer (fine-tuned),0.8277175,0.05595754396861965,0.753524,0.873157,4,0.873157,BERTweet
pheme,LLM (zero-shot),0.31839998566713357,0.02923628067982476,0.281712248609001,0.3532782715784965,4,0.3532782715784965,Qwen3.6 27B
pheme,Transformer (fine-tuned),0.63299125,0.03251318853814042,0.591028,0.659813,4,0.659813,BERTweet
pheme_all_events,Transformer (fine-tuned),0.859494,,0.859494,0.859494,1,0.859494,RoBERTa
