dataset,transformer_mean,transformer_best,llm_mean,llm_best,gold_n,minority_ratio,n_classes,delta_mean,delta_best,has_both
gurlitt,0.366667,0.366667,,,124,0.4274193548387097,2,,,False
pheme_all_events,0.859494,0.859494,,,3000,0.5,2,,,False
manchester,0.9596905,0.964972,0.6932790374334975,0.7311793526463827,3427,0.12459877443828421,3,0.2664114625665025,0.23379264735361738,True
monkeypox,0.8277175,0.873157,0.6975874396987687,0.7725915793733803,4043,0.2579767499381647,3,0.1301300603012313,0.10056542062661966,True
pheme,0.63299125,0.659813,0.31839998566713357,0.3532782715784965,4500,0.3333333333333333,3,0.31459126433286644,0.3065347284215035,True
